File Name,Positive Score,Negative Score,Polarity Score,Subjectivity Score,Avg Sentence Length,Percentage of Complex Words,Fog Index,Avg Words Per Sentence,Complex Word Count,Word Count,Syllable Per Word,Personal Pronouns,Avg Word Length
blackassign0064,51,23,0.378378373,0.041503085,21.74390244,0.275939428,8.807936747,21.74390244,492,1783,1.685922602,1,5.936623668
blackassign0065,39,25,0.218749997,0.035359116,20.11111111,0.256353591,8.146985881,20.11111111,464,1810,1.578453039,0,5.696685083
blackassign0066,30,7,0.621621605,0.027903469,17.68,0.283559578,7.185423831,17.68,376,1326,1.673453997,0,5.935143288
blackassign0067,47,9,0.678571416,0.035375869,20.55844156,0.276689829,8.334052555,20.55844156,438,1583,1.634870499,0,5.827542641
blackassign0068,36,8,0.636363622,0.039747064,39.53571429,0.309846432,15.93822429,39.53571429,343,1107,1.730803975,0,6.01535682
blackassign0069,48,15,0.523809515,0.033315706,22.78313253,0.288207298,9.228535931,22.78313253,545,1891,1.725542041,0,6.028556319
blackassign0070,29,70,-0.41414141,0.068845619,15.8021978,0.26286509,6.426025157,15.8021978,378,1438,1.614742698,0,5.797635605
blackassign0071,66,24,0.466666661,0.058441558,16.73913043,0.266883117,6.802405421,16.73913043,411,1540,1.621428571,0,5.737012987
blackassign0072,28,35,-0.111111109,0.037974684,24.76119403,0.266425558,10.01104783,24.76119403,442,1659,1.626280892,2,5.827004219
blackassign0073,35,30,0.076923076,0.035230352,19.42105263,0.287262873,7.883326202,19.42105263,530,1845,1.710569106,1,5.950677507
blackassign0074,29,82,-0.477477473,0.074949358,15.58947368,0.264686023,6.341663883,15.58947368,392,1481,1.615800135,0,5.848075625
blackassign0075,45,32,0.168831167,0.043626062,22.62820513,0.284419263,9.165049757,22.62820513,502,1765,1.69121813,0,5.86572238
blackassign0076,30,13,0.395348828,0.03147877,35.02564103,0.275256223,14.1203589,35.02564103,376,1366,1.703513909,0,6.005124451
blackassign0077,44,26,0.257142853,0.041716329,32.26923077,0.275327771,13.01782342,32.26923077,462,1678,1.70738975,0,6.032777116
blackassign0078,39,49,-0.113636362,0.045501551,21.25274725,0.284901758,8.615059604,21.25274725,551,1934,1.661323681,0,5.912616339
blackassign0079,26,13,0.333333325,0.010973551,17.16908213,0.192459201,6.944616531,17.16908213,684,3554,1.393359595,0,5.332864378
blackassign0080,42,47,-0.056179775,0.047040169,19.91578947,0.289112051,8.08196061,19.91578947,547,1892,1.710359408,0,6.057610994
blackassign0081,35,71,-0.339622638,0.055208333,26.30136986,0.3234375,10.64992295,26.30136986,621,1920,1.7828125,0,6.136458333
blackassign0082,9,3,0.499999958,0.01171875,48.76190476,0.297851563,19.62390253,48.76190476,305,1024,1.706054688,0,6.060546875
blackassign0083,40,5,0.77777776,0.028680688,26.15,0.252390057,10.56095602,26.15,396,1569,1.548119822,0,5.656469089
blackassign0084,43,37,0.074999999,0.044395117,13.34814815,0.320199778,5.46733917,13.34814815,577,1802,1.759156493,0,6.03718091
blackassign0085,51,15,0.545454537,0.033199195,18.75471698,0.285211268,7.615971299,18.75471698,567,1988,1.613682093,0,5.8777666
blackassign0086,35,30,0.076923076,0.042043984,26.20338983,0.274256145,10.59105839,26.20338983,424,1546,1.664294955,0,5.948253558
